zip,price
89403,2.25
89408,2.25
89423,2.35
89428,2.25
89429,2.3
89431,2.25
89433,2.25
89434,2.25
89436,2.25
89439,2.25
89440,2.25
89441,2.25
89448,2.35
89449,2.35
89451,2.35
89460,2.35
89502,2.25
89503,2.25
89506,2.25
89508,2.25
89509,2.25
89511,2.25
89512,2.25
89519,2.25
89521,2.25
89523,2.25
89701,2.25
89703,2.25
89704,2.25
89705,2.3
89706,2.3
93901,2.1
93905,2.1
93906,2.1
93907,2.1
93908,2.1
93921,2.1
93926,2.1
93927,2.1
93930,2.1
93933,2.1
93940,2.1
93950,2.1
93953,2.1
93955,2.1
93960,2.1
94002,1.9
94005,1.9
94010,1.85
94014,1.9
94015,1.9
94018,2.15
94019,2.15
94022,1.85
94024,1.9
94025,1.85
94027,1.85
94028,1.85
94030,1.85
94037,2.15
94038,2.15
94040,1.9
94041,1.9
94043,1.9
94044,1.9
94061,1.9
94062,1.9
94063,1.9
94065,1.9
94066,1.85
94070,1.9
94080,1.9
94085,2
94086,1.9
94087,1.9
94089,2
94107,2.15
94110,2.15
94112,1.9
94114,2.15
94115,2.05
94116,1.9
94117,2.05
94118,2.05
94121,2.05
94122,1.9
94123,2.05
94124,2.15
94127,1.9
94128,1.85
94129,2.05
94130,2.15
94131,1.9
94132,1.9
94134,2.15
94158,2.15
94301,1.85
94303,1.85
94304,1.85
94305,1.85
94306,1.85
94401,1.85
94402,1.85
94403,1.85
94404,1.9
94501,1.95
94502,1.9
94503,2.25
94505,2
94506,1.9
94507,2.1
94509,2
94510,2.25
94513,2
94516,1.95
94517,2
94518,1.95
94519,1.95
94520,1.95
94521,1.95
94523,1.95
94525,2.15
94526,1.9
94528,1.9
94530,1.9
94531,2
94533,2.1
94534,2.1
94536,1.9
94537,1.9
94538,1.9
94539,1.85
94541,1.85
94542,1.85
94544,1.85
94545,1.75
94546,1.85
94547,2.15
94549,2.1
94550,2
94551,1.9
94552,1.85
94553,1.95
94555,1.75
94556,2.1
94558,2.15
94559,2.15
94560,1.9
94561,2
94563,2.1
94564,2.15
94565,2
94566,1.9
94568,1.9
94569,1.95
94572,2.15
94577,1.8
94578,1.8
94579,1.8
94580,1.8
94582,1.85
94583,1.85
94586,1.9
94587,1.75
94588,1.9
94589,2.25
94590,2.25
94591,2.25
94592,2.25
94595,2.1
94596,2.1
94597,2.1
94598,1.95
94599,2.15
94601,1.9
94602,1.95
94603,1.85
94604,2.05
94605,1.85
94606,1.95
94607,2.05
94608,2.05
94609,2.05
94610,1.95
94611,1.95
94612,2.05
94613,1.85
94615,2.05
94617,2.05
94618,2.05
94619,1.95
94621,1.9
94623,2.05
94624,1.95
94662,2.05
94701,2.05
94702,2.05
94703,2.05
94704,2.05
94705,2.05
94706,2.05
94707,2.05
94708,2.05
94709,2.05
94710,2.05
94720,2.05
94801,1.9
94803,2.15
94804,1.9
94805,1.9
94806,2.15
94901,2.15
94903,2.15
94904,2.15
94920,2.1
94925,2.15
94928,2
94931,2
94939,2.15
94941,2.1
94945,2
94947,2.15
94949,2.15
94951,2
94952,2.1
94954,2
94960,2.15
94965,2.1
95002,2
95003,2.25
95004,2.25
95005,2.25
95008,1.95
95010,2.2
95012,2.25
95013,1.95
95014,1.95
95018,2.25
95019,2.25
95020,1.95
95023,1.95
95030,1.95
95032,1.95
95033,2.2
95035,1.85
95036,1.85
95037,1.95
95045,2.25
95046,1.95
95050,1.9
95051,1.9
95054,2
95056,2
95060,2.25
95062,2.2
95064,2.25
95065,2.25
95066,2.25
95070,1.95
95073,2.25
95076,2.25
95110,2
95111,1.85
95112,1.85
95113,2
95116,1.85
95117,1.9
95118,1.9
95119,1.95
95120,1.95
95121,1.85
95122,1.85
95123,1.95
95124,1.9
95125,2
95126,2
95127,1.85
95128,2
95129,1.9
95130,1.95
95131,2
95132,1.85
95133,2
95134,2
95135,1.85
95136,1.95
95138,1.85
95139,1.95
95148,1.85
95151,1.85
95152,1.85
95156,1.85
95164,2
95173,1.85
95202,2.05
95203,2.05
95204,2.05
95205,2.05
95206,2.05
95207,2.05
95209,2.05
95210,2.05
95212,2.05
95215,2.3
95219,2.3
95220,2.3
95231,2.05
95236,2.3
95237,2.3
95240,2.3
95242,2.3
95258,2.3
95303,2.05
95304,2
95307,2.05
95313,2.05
95315,2.05
95316,2.15
95319,2.05
95320,2.15
95322,2.15
95323,2.15
95324,2.05
95326,2.05
95328,2.05
95330,2.05
95334,2.05
95336,2.05
95337,2.05
95350,2.05
95351,2.05
95354,2.05
95355,2.05
95356,2.05
95357,2.05
95358,2.05
95360,2.15
95361,2.05
95363,2.15
95366,2.05
95367,2.05
95368,2.05
95374,2.05
95376,2
95377,2
95380,2.05
95382,2.05
95386,2.15
95391,2
95401,1.9
95403,1.9
95404,1.9
95405,1.9
95407,2
95409,2.15
95431,2.15
95436,2.1
95439,1.9
95442,2.15
95444,2.1
95452,2.15
95472,2.1
95476,2.15
95492,1.9
95603,2.3
95605,1.9
95608,1.85
95610,1.85
95616,1.85
95617,1.85
95618,1.85
95620,2.1
95621,1.85
95624,1.85
95626,1.9
95628,1.85
95630,1.85
95632,2.3
95638,2.3
95648,2.05
95650,1.95
95652,1.85
95655,1.85
95658,2.3
95660,1.85
95661,1.85
95662,1.85
95663,2.3
95670,1.85
95673,1.9
95677,1.85
95678,1.85
95687,2.1
95691,2
95693,2.3
95695,1.85
95696,2.1
95742,2.05
95746,1.85
95747,1.85
95757,1.95
95758,1.85
95765,1.85
95776,1.85
95811,2.3
95814,2.3
95815,1.85
95816,1.95
95817,1.85
95818,1.85
95819,1.95
95820,1.85
95821,1.85
95822,1.85
95823,1.85
95824,1.85
95825,1.85
95826,1.85
95827,1.85
95828,1.85
95829,1.85
95830,1.85
95831,1.85
95832,1.85
95833,2
95834,1.9
95835,1.9
95838,1.85
95841,1.85
95842,1.85
95843,1.85
95864,2.15
95901,2.2
95926,2.3
95928,2.3
95951,2.3
95961,2.2
95963,2.3
95973,2.3
95988,2.3
95991,2.2
95993,2.2
96001,2.3
96002,2.3
96003,2.3
96007,2.3
96021,2.3
96055,2.3
96143,2.35
96150,2.35
97501,2.05
97502,2.05
97503,2.05
97504,2.05
97520,2.05
97526,2.05
97527,2.05
97535,2.05
97540,2.05
